ID,label,Unnamed: 2
a340l8,Sate Madura,
pqag0r,Rawon,
0g34qt,Sate Madura,
3x6chj,Bakso,
bovqd5,Soto,
rdcq2f,Sate Padang,
mktbrm,Bakso,Putih
cy3dm3,Ayam Bakar,
cup9pk,Sate Padang,
olsclo,Coto Makassar,
kqk03e,Rawon,
mxt96h,Rawon,
ztqy3o,Ayam Bakar,
widouk,Sate Padang,
npae7y,Gudeg,
lohlq7,Gudeg,Putih
y1f8xg,Nasi Goreng,
n3wg2g,Rendang,
kanelc,Ayam Goreng,
7kov23,Coto Makassar,
438qta,Ayam Goreng,
vlcfwi,Coto Makassar,
5azrbh,Nasi Goreng,
bl0119,Rendang,
oy09tw,Gudeg,
qcd0pi,Gado Gado,
y3erfh,Ayam Bakar,
h0jvma,Soto,
hp34q7,Rendang,
xv7swe,Sate Padang,
i8bwqz,Gado Gado,
8cv0pg,Ayam Pop,
k8chy0,Gudeg,putih
eopy9v,Pempek,
g4rc8o,Soto,
yo9ha2,Gado Gado,
2ita0z,Ayam Pop,
ch23fh,Ayam Pop,
i8fw45,Rendang,
rtt4pk,Sate Padang,
9whfvq,Gudeg,Putih
hiphcn,Ayam Goreng,
j16f4x,Bakso,
hrwo4d,Gado Gado,
8zaug5,Rawon,
z1vra4,Soto,
4ilx6z,Soto,
azw8fc,Pempek,
ouxhrc,Pempek,
tdkjoa,Gado Gado,
dilbmq,Soto,
o5o7hm,Nasi Goreng,
b7rfli,Ayam Goreng,
95adz3,Bakso,
8w0uhq,Ayam Betutu,
83x9fz,Sate Madura,
zwofq4,Nasi Goreng,
ueaivb,Ayam Pop,
5bfa37,Ayam Goreng,
gqi2ol,Rawon,
ml68o4,Ayam Betutu,
tqw5kn,Rendang,
i4rfxv,Ayam Pop,
b0ka5n,Ayam Bakar,
wb3enw,Bakso,
nywhe8,Sate Padang,
zdkruq,Bakso,
ymtp6w,Soto,
ga7agq,Ayam Bakar,
s6shx8,Rawon,
yqljs7,Rawon,
6ualqk,Rawon,
dtv4zp,Gudeg,putih
k3rllg,Rendang,
6vmx50,Nasi Goreng,
6cfo3f,Ayam Bakar,
p4zi7h,Gudeg,
iyfzx8,Ayam Betutu,
jfyqg0,Coto Makassar,
t8f6yq,Rendang,
79034h,Rendang,
k4z9m6,Ayam Goreng,
buolhd,Nasi Goreng,
o4j9bh,Ayam Goreng,
wko2d9,Ayam Goreng,
i6kcfk,Coto Makassar,
efaxhg,Coto Makassar,
giikkb,Coto Makassar,
bx0fdi,Rawon,
swc8ob,Ayam Bakar,
v6mexc,Bakso,
j45o4g,Ayam Goreng,
z3kury,Sate Madura,
k1x0p0,Nasi Goreng,
w35myi,Soto,
0wse0g,Ayam Goreng,
ie80bn,Nasi Goreng,
rpe2x4,Pempek,
4min3g,Ayam Bakar,
a4i0e0,Ayam Pop,
ua5azp,Sate Madura,
egnuue,Rawon,
amgthb,Gudeg,
hjvvxj,Gudeg,Putih
ygkzkl,Sate Padang,
ln8hpq,Bakso,
dt1gpz,Gudeg,Putih
h6h05y,Sate Madura,
i279o2,Sate Padang,
vi3xf6,Gado Gado,
oqisx8,Nasi Goreng,
w9jrld,Sate Madura,
fp1crn,Gado Gado,
yfpmjp,Rendang,
tkjo87,Sate Madura,
466mnv,Ayam Pop,
7dx3hj,Bakso,
3r081t,Sate Padang,
dxepvj,Rendang,
vc8rzd,Bakso,
r3famb,Ayam Goreng,
ix2oh3,Gado Gado,
awwu4x,Ayam Pop,
z07piz,Ayam Goreng,
0jbjc1,Ayam Pop,
1ogsj8,Ayam Goreng,
y7rkto,Ayam Pop,
erp886,Gado Gado,
knky14,Bakso,
2vkqj9,Bakso,
ugf4gq,Rendang,
qcvuth,Rendang,
z7m9rv,Ayam Goreng,
fi0fmt,Sate Padang,
upflic,Ayam Pop,
wlutxj,Gudeg,
ayowdp,Rendang,
jd53k7,Gado Gado,
1ttwp3,Bakso,
iv74dj,Sate Padang,
n1ataq,Ayam Bakar,
g1ln16,Ayam Pop,
4dyzy3,Bakso,
1hg4x0,Gado Gado,
x7lih8,Nasi Goreng,
2w7wlf,Gado Gado,
c5ism7,Nasi Goreng,
d9rxqj,Ayam Goreng,
ln7q3d,Sate Padang,
f9zgtg,Ayam Goreng,
z0zm3z,Ayam Goreng,
fu9lni,Coto Makassar,
2biaha,Pempek,
hbcdow,Rendang,
hj05ss,Bakso,
2gnqpu,Bakso,
lv6kxk,Rendang,
dj0bwn,Sate Padang,
htf6q9,Rendang,
60milu,Ayam Pop,
o7uqkr,Soto,
r8hzf8,Bakso,
m2a8nw,Ayam Pop,
k5i8k2,Sate Padang,
gfnihf,Nasi Goreng,
rghud1,Gado Gado,
irwgdj,Rendang,
rdcds2,Rendang,
ukjyaw,Sate Padang,
vky34p,Pempek,
woz1wb,Nasi Goreng,
vs2xna,Gudeg,
6kx63v,Pempek,
wu30lq,Bakso,
8bfva2,Pempek,
qpniuy,Ayam Goreng,
rz3x2c,Gado Gado,
dpoqua,Ayam Goreng,
eas2lv,Bakso,
tl3xrw,Sate Padang,
yzdj00,Ayam Goreng,
dwlwra,Bakso,
df93nb,Sate Padang,
bfv3nf,Bakso,
a3d2in,Ayam Bakar,
3l6szo,Bakso,
tqc2df,Ayam Goreng,
sy6e7x,Bakso,
sfr1ie,Ayam Goreng,
gubfdm,Rendang,
lkueg8,Nasi Goreng,
ch3ws4,Rendang,
li30za,Ayam Goreng,
cy00nj,Rendang,
a6ovv0,Rendang,
l7o80b,Bakso,
rdue5k,Rendang,
2zckph,Rendang,
w0neux,Gado Gado,
dihav7,Gado Gado,
dwbvy6,Bakso,
ps3tq4,Sate Padang,
nh6b8a,Ayam Goreng,
ixzkju,Gado Gado,
avujaj,Rawon,
yp351h,Nasi Goreng,
iah4xw,Sate Padang,
mry1qo,Rendang,
ywtpui,Ayam Bakar,
d9g2f4,Ayam Bakar,
iu773v,Ayam Pop,
wxxk9o,Ayam Goreng,
xnnl0u,Sate Madura,
axl5lg,Ayam Bakar,
yw3eb8,Sate Padang,
ok3dka,Ayam Pop,
qv0t7w,Bakso,
m7t9qy,Nasi Goreng,
9pnm4o,Rendang,
n0bto8,Rawon,
6rkuj7,Ayam Goreng,
ns3w84,Bakso,
6zfcis,Gado Gado,
unkfb0,Gado Gado,
iuz43x,Gado Gado,
z3bvq4,Sate Padang,
ajqxkf,Sate Madura,
crius0,Bakso,
mtmyvd,Ayam Pop,
9dm8h9,Rendang,
44jjl0,Pempek,
2z2gty,Ayam Goreng,
6yiv9v,Ayam Bakar,
6hl0kj,Soto,
5r8rlo,Sate Madura,
j3cj82,Rendang,
393ykh,Ayam Goreng,
byxpac,Bakso,
drilde,Sate Padang,
07xk29,Rendang,
c43wb7,Gado Gado,
we0z4w,Ayam Goreng,
0mcxwy,Rendang,
ouov1r,Sate Madura,
ua87ko,Bakso,
hh40r0,Bakso,
sx0f15,Rawon,
4nw97o,Sate Madura,
e58ogy,Gado Gado,
zqt0mq,Sate Madura,
j7gyun,Bakso,
5od8a8,Rendang,
souf92,Sate Madura,
hdevts,Gado Gado,
n92f4u,Nasi Goreng,
h5puqm,Gado Gado,
6lv6fq,Rendang,
5xs20q,Gudeg,
lor0kr,Bakso,
gvmyzj,Sate Madura,
o7ulw5,Ayam Pop,
vp7fxu,Pempek,
nu7wmm,Pempek,
0zbnxf,Sate Madura,
rck10s,Bakso,
9m5tgg,Sate Padang,
mjwj4n,Nasi Goreng,
s6ge0j,Bakso,
m8keg6,Gado Gado,
gr31o3,Ayam Bakar,
t1arm4,Sate Padang,
genq7h,Nasi Goreng,
ds1sbd,Rendang,
4qhy6g,Sate Padang,
zrpk7i,Sate Madura,
e949iw,Nasi Goreng,
thoo2a,Bakso,
jzh89e,Rendang,
76mneh,Pempek,
lberjn,Sate Padang,
nncvlz,Sate Padang,
qlokds,Ayam Goreng,
zjns82,Bakso,
5kxo7y,Ayam Goreng,
taiozz,Bakso,
oj72h0,Nasi Goreng,
f5z96d,Nasi Goreng,
3kcczj,Rendang,
5vxkx1,Bakso,
ybxq3l,Ayam Goreng,
ug4wwt,Rendang,
mgbbha,Gudeg,
t134f4,Rendang,
zdizyn,Rendang,
yzfeno,Ayam Goreng,
fx114m,Rendang,
3pt42l,Ayam Goreng,
l4ua7b,Ayam Bakar,
d2pb4s,Soto,
de0ye7,Ayam Goreng,
biwczm,Bakso,
ww2b9c,Nasi Goreng,
bsyld4,Bakso,
qqgq19,Sate Padang,
99856s,Pempek,
sj0bdq,Sate Madura,
pxsddz,Sate Padang,
vbq3w2,Ayam Betutu,
au1dpq,Bakso,
3d736x,Bakso,
djpcp7,Coto Makassar,
qfnqdh,Soto,
7farws,Rawon,
sjluhv,Ayam Bakar,
4y3i1u,Bakso,
4vukw0,Ayam Bakar,
ydpmyq,Gudeg,
9jbzle,Gudeg,
llyfv9,Gudeg,
rkjsih,Ayam Bakar,
odqg8r,Ayam Goreng,
3vdnns,Ayam Goreng,
p8g1qk,Gado Gado,
we7gfa,Coto Makassar,
fmea84,Soto,
bqaovg,Sate Madura,
sf172m,Sate Padang,
o8mydl,Ayam Bakar,
obyfyg,Nasi Goreng,
mzgrns,Ayam Goreng,
6yo359,Ayam Bakar,
9w86ut,Rendang,
d4rzqt,Ayam Bakar,
sb59gy,Pempek,
5rga9v,Rendang,
4i62dy,Bakso,
0i1gxc,Nasi Goreng,
g42bqr,Gado Gado,
wptd7t,Sate Padang,
kd7khx,Sate Madura,
qs69ee,Gado Gado,
da99i4,Bakso,
gdrstf,Ayam Betutu,
gznwms,Ayam Pop,
ru4er4,Sate Madura,
h7k6zx,Coto Makassar,
5t52y1,Sate Padang,
ke8i6h,Coto Makassar,
wr3dzc,Pempek,
rhrepw,Sate Padang,
anuf5o,Ayam Goreng,
bo2o84,Sate Padang,
6vw1s8,Ayam Bakar,
xdg1bl,Ayam Betutu,
as5wyd,Rawon,
2wqgru,Ayam Pop,
f0w4am,Sate Padang,
92bewr,Ayam Bakar,
zgfpaf,Rendang,
5b9cup,Soto,
hrtr7a,Ayam Bakar,
2725xq,Ayam Goreng,
7djy3o,Ayam Betutu,
uxr2zd,Coto Makassar,
s55y8u,Coto Makassar,
o79epp,Soto,
7gx0ph,Nasi Goreng,
u0e1s7,Ayam Goreng,
czhp8e,Sate Madura,
37o3se,Soto,
4bv46t,Ayam Betutu,
akqk8n,Ayam Pop,
n705xf,Ayam Goreng,
bal36h,Rendang,
044hgc,Sate Madura,
bktczj,Ayam Bakar,
bu9thb,Sate Madura,
8harg6,Rendang,
se44f1,Sate Padang,
uwxaxx,Gudeg,
jmnge2,Ayam Goreng,
7okip0,Nasi Goreng,
luzrhc,Ayam Bakar,
mvu9eq,Gado Gado,
8hqguy,Gado Gado,
gbs1g2,Ayam Betutu,
kkdq48,Sate Padang,
l89ykz,Coto Makassar,
z5ujht,Bakso,
9iml7q,Ayam Betutu,
gvsvqv,Coto Makassar,
7wgv07,Soto,
glvnbp,Sate Madura,
cs9s88,Nasi Goreng,
v3w4us,Ayam Betutu,
8wxx92,Ayam Pop,
rjs1sp,Soto,
mkknty,Rawon,
k1tffa,Gudeg,Putih
8gjh9g,Bakso,
kssxre,Sate Padang,
mmul07,Rendang,
32mwck,Soto,
8qf49y,Soto,
t2nb17,Ayam Goreng,
eef3pb,Pempek,
bwtwjw,Sate Madura,
kwixkt,Sate Madura,
qk2ek0,Sate Padang,
o46o40,Sate Madura,
wmn14x,Rawon,
0u30lb,Ayam Goreng,
o2qbwc,Coto Makassar,
58rivz,Gudeg,
vbi5vh,Soto,
iqzdcz,Gudeg,
xmgm5c,Gudeg,Putih
kpr7mt,Ayam Bakar,
vo0c3m,Bakso,
31xkik,Gado Gado,
9kvvqn,Pempek,
tgcod8,Ayam Bakar,
un3omp,Gudeg,Putih
f0ylta,Ayam Goreng,
hdewbx,Nasi Goreng,
o801h0,Rawon,
jxr91y,Bakso,
hg80vu,Pempek,
8x53sf,Pempek,
j9shfe,Rawon,
hlvbue,Ayam Pop,
ph2zhb,Rendang,
gupp2w,Bakso,
w93sls,Sate Padang,
p4sr2u,Ayam Bakar,
wom3zu,Coto Makassar,
sg8hwh,Sate Padang,
c86b9c,Gado Gado,
m53r9a,Sate Madura,
xo6csy,Gudeg,Putih
51q8n4,Soto,
znupfh,Rendang,
ley1wh,Ayam Pop,
it413f,Pempek,
m89v05,Nasi Goreng,
lao6ir,Ayam Goreng,
hdzld5,Ayam Pop,
dhw7cp,Pempek,
0ajmcr,Ayam Bakar,
nquemu,Ayam Goreng,
obyekx,Rendang,
mcfffm,Ayam Pop,
jjpnkj,Sate Padang,
dqouw7,Ayam Bakar,
612djq,Nasi Goreng,
sw8byg,Ayam Goreng,
s00hjr,Sate Madura,
f902re,Sate Madura,
2b3cw1,Ayam Bakar,
gml59a,Nasi Goreng,
jumhb4,Rawon,
u9k008,Ayam Bakar,
fjv6i2,Soto,
r36pzw,Pempek,
nwglxd,Gudeg,
n7nm4v,Rendang,
z29wog,Ayam Pop,
rj0rpq,Ayam Goreng,
ie9ssq,Sate Madura,
zsqdoo,Gudeg,
a5tqj3,Rawon,
w8crj3,Gudeg,
plnf7f,Sate Padang,
b6wrjn,Rawon,
ctiw0b,Coto Makassar,
lwo2eg,Pempek,
0cczsl,Nasi Goreng,
asvaed,Coto Makassar,
eiyccb,Gudeg,
3c68du,Rendang,
klxd55,Ayam Bakar,
hn81x0,Rawon,
t6zhsn,Pempek,
sp3l7v,Ayam Pop,
rph8uo,Sate Padang,
ynrd8w,Coto Makassar,
u2aviq,Sate Padang,
4kfq4b,Pempek,
bnbfl2,Ayam Betutu,
qpwjg4,Ayam Bakar,
4c4kh9,Rawon,
6p8yqn,Sate Madura,
3w3poi,Rawon,
asvbdc,Ayam Goreng,
sccf2o,Bakso,
dls7ug,Ayam Pop,
c2qwl3,Pempek,
ufg3k4,Ayam Goreng,
o1zly8,Gudeg,
6fkp8a,Bakso,
oza4lj,Sate Madura,
wzggze,Coto Makassar,
gpec3p,Gudeg,
dchey9,Ayam Pop,
wkth2c,Rendang,
ngmsmj,Sate Madura,
r46qh1,Nasi Goreng,
7vjb9a,Sate Padang,
2tnvkw,Ayam Bakar,
0t4dw6,Bakso,
gwepel,Ayam Bakar,
m3u2yz,Gado Gado,
9d5n2u,Sate Madura,
9yytzs,Rawon,
hc03ay,Sate Madura,
xvoog1,Ayam Pop,
5qbss3,Ayam Goreng,
r9v990,Nasi Goreng,
lotlz6,Ayam Goreng,
aeim5a,Sate Madura,
0sb8vl,Ayam Goreng,
urkksw,Gudeg,
viv43m,Nasi Goreng,
93aq8c,Ayam Goreng,
t5a3bl,Gado Gado,
rymi9p,Ayam Goreng,
idf6wu,Sate Padang,
n044y6,Pempek,
r95uuu,Ayam Goreng,
3usw92,Gado Gado,
jfaakw,Bakso,
7zfou9,Ayam Goreng,
ohi59o,Sate Padang,
g759td,Ayam Goreng,
phvaaw,Ayam Pop,
d1hp6g,Ayam Goreng,
5lgcht,Bakso,
n15gzn,Nasi Goreng,
i1pnbe,Bakso,
v4f1yg,Ayam Pop,
mz0jyl,Ayam Goreng,
wb88ci,Bakso,
nb745a,Sate Madura,
obfa7d,Sate Madura,
a80osn,Rendang,
q0x5x5,Sate Madura,
cc7iqw,Coto Makassar,
0b1pxi,Ayam Goreng,
w8ciua,Rendang,
07bpnp,Sate Padang,
p5ln23,Nasi Goreng,
h3s0k6,Rawon,
uwbkay,Nasi Goreng,
ekni7k,Ayam Goreng,
14ll5k,Ayam Bakar,
ha7qdb,Ayam Pop,
36nii2,Ayam Bakar,
glfwz1,Ayam Goreng,
451f4s,Gado Gado,
846gqq,Sate Padang,
ugzwii,Sate Madura,
x3w0ds,Ayam Goreng,
rjh61y,Sate Madura,
avqyyu,Ayam Goreng,
heygzc,Sate Madura,
jecq12,Gado Gado,
mgkusl,Rendang,
0aj0j3,Gudeg,
yop8bw,Sate Padang,
cu68lc,Sate Madura,
7e2cqh,Sate Padang,
zgble3,Gado Gado,
8fl8pm,Rendang,
j0bllt,Bakso,
5pl9tb,Ayam Goreng,
2gz7kr,Bakso,
kzgnnw,Ayam Bakar,
9j90si,Sate Madura,
6gbtf2,Coto Makassar,
ehqk3y,Pempek,
e3cv4j,Ayam Bakar,
mgywp6,Ayam Goreng,
0wsr1r,Pempek,
bue3ip,Nasi Goreng,
b4yxb2,Gado Gado,
cbih9x,Bakso,
c52t2s,Ayam Goreng,
czuhtn,Sate Madura,
hvab8n,Sate Madura,
2otf5b,Rendang,
4nso9p,Ayam Goreng,
dowese,Coto Makassar,
5i7dr4,Rawon,
q1dg83,Rawon,
ehjp2j,Ayam Goreng,
862wxy,Sate Madura,
qkwhmv,Pempek,
riwd98,Rendang,
yb6eau,Rawon,
73wypf,Sate Padang,
7eotob,Bakso,
8gap3e,Bakso,
ypevfn,Ayam Bakar,
atkdao,Nasi Goreng,
ygd37o,Rawon,
5u89p9,Sate Madura,
6ch0xn,Ayam Pop,
gozirt,Rendang,
p9w9dp,Rendang,
9ymcww,Rendang,
slmuor,Ayam Pop,
pf7aqf,Bakso,
zs1yro,Gudeg,
134ovu,Sate Madura,
5ohruw,Ayam Goreng,
fk8utf,Ayam Pop,
z2h8ww,Sate Padang,
lnd40g,Gudeg,
nkadpv,Gudeg,
7h3u91,Coto Makassar,
f9y79f,Ayam Goreng,
rm9vld,Sate Madura,
48pef6,Ayam Bakar,
6uwumk,Rendang,
7todcl,Gado Gado,
6n4g9s,Bakso,
scxzje,Ayam Bakar,
77fwnl,Pempek,
wojr93,Sate Padang,
sl9dhy,Ayam Goreng,
rfjec8,Rendang,
al7981,Bakso,
eti5hx,Gado Gado,
a6idc6,Gado Gado,
y98eo4,Rendang,
i3elwp,Gado Gado,
a3u99t,Bakso,
ndz9ux,Ayam Pop,
suqqga,Bakso,
kik9vw,Ayam Goreng,
nene62,Gado Gado,
2h4j6y,Sate Padang,
wwxbjf,Gado Gado,
kr1g9u,Gado Gado,
5wb84x,Gudeg,
nluknd,Bakso,
a8ul97,Ayam Goreng,
swesps,Nasi Goreng,
otqymg,Ayam Goreng,
h9t342,Ayam Goreng,
pix8tl,Ayam Goreng,
p5n7gd,Pempek,
jpydrl,Bakso,
cltttb,Rendang,
4i6dba,Ayam Goreng,
h4okjz,Bakso,
cn17j6,Pempek,
9zhxpr,Sate Madura,
8wkfvf,Nasi Goreng,
b8srln,Sate Madura,
qo6ljp,Bakso,
fr8fzv,Nasi Goreng,
6y1far,Bakso,
h25m8x,Gudeg,
lbhl8b,Ayam Bakar,
p45qd6,Bakso,
know6l,Ayam Goreng,
3wsdaj,Rawon,
76pper,Gado Gado,
wmzhz9,Rendang,
8nbifs,Rendang,
ngkx2x,Pempek,
m0q8mr,Bakso,
ssn23o,Ayam Goreng,
9jfymi,Ayam Betutu,
zjfzcd,Ayam Goreng,
8vps5b,Bakso,
rbfkhy,Sate Padang,
ygpjho,Sate Madura,
o48ytc,Coto Makassar,
8bcpf9,Bakso,
ax1fij,Rendang,
9w4enl,Pempek,
y1g1ev,Gudeg,
vnwxs5,Bakso,
43ceq2,Sate Padang,
p3juui,Bakso,
kf3mh3,Rendang,
p3ogr3,Pempek,
9x8owp,Gado Gado,
vypo1n,Nasi Goreng,
9resvi,Pempek,
ps3o3r,Bakso,
5r0giz,Sate Madura,
e82en4,Ayam Pop,
tbxx1n,Gudeg,
zr2t2e,Sate Madura,
3yrmom,Sate Madura,
7atc1b,Sate Madura,
ipz4fd,Ayam Goreng,
uw8jaq,Rendang,
kbv4rf,Rendang,
7yztn8,Bakso,
6fc853,Rendang,
amiyak,Bakso,
qsh4f3,Pempek,
yqphe9,Nasi Goreng,
nuxn9u,Bakso,
nt3ucf,Ayam Pop,
bkefsm,Ayam Pop,
5wj66s,Sate Padang,
o1nem1,Bakso,
jb3t6o,Rendang,
8fuspg,Ayam Bakar,
y4lvap,Ayam Pop,
xl5cg7,Ayam Pop,
we5nwp,Nasi Goreng,
rhhk7d,Ayam Goreng,
of1ki9,Nasi Goreng,
rp2hx6,Bakso,
tq629y,Ayam Pop,
ufcace,Ayam Goreng,
2hd1qr,Bakso,
bpd5rj,Rendang,
dkof45,Rendang,
ej5rof,Gado Gado,
8he9j8,Sate Padang,
mmqkwa,Rendang,
722inx,Bakso,
9abyf4,Ayam Betutu,
uz8iqs,Ayam Goreng,
zek702,Nasi Goreng,
e1p1x0,Rendang,
y9a9tn,Bakso,
jxpfgd,Sate Padang,
mbdlka,Sate Madura,
pci4oj,Ayam Goreng,
kgovqk,Gado Gado,
0jhqn6,Ayam Pop,
b2druv,Coto Makassar,
pd2liy,Ayam Goreng,
tar2sq,Rawon,
t5dzvj,Rendang,
9g2vvc,Sate Madura,
2a5vww,Bakso,
6rsul3,Ayam Goreng,
ixxpmh,Sate Madura,
v3wg7q,Sate Madura,
jw1dxz,Sate Madura,
vttgn3,Rendang,
grsft8,Bakso,
xqmewl,Bakso,
bqafeh,Coto Makassar,
yhpp0w,Rendang,
qldnyk,Bakso,
bjy7vx,Ayam Pop,
s0ltmv,Coto Makassar,
nu5joy,Bakso,
ju2boj,Gado Gado,
5ba669,Nasi Goreng,
b38wdq,Pempek,
0r69mn,Gudeg,
9gnbuk,Sate Padang,
fbh3gx,Sate Padang,
o4hkkr,Gudeg,
ld1dk4,Nasi Goreng,
5fp27u,Ayam Pop,
zr3lmm,Rawon,
jo34e4,Nasi Goreng,
audd7c,Ayam Pop,
087mu2,Ayam Goreng,
012nt0,Gado Gado,
rdr8ze,Sate Padang,
2grokf,Sate Madura,
bk0btq,Ayam Goreng,
r1qq4h,Bakso,
10qam6,Bakso,
1pgukw,Sate Padang,
eh2vix,Ayam Bakar,
lo8p7a,Bakso,
1ony3s,Sate Madura,
9k3y2g,Ayam Pop,
gey99r,Ayam Betutu,
rkxw0f,Bakso,
idvu3q,Ayam Pop,
m95dai,Sate Padang,
bkuecj,Sate Madura,
kwu3kt,Ayam Goreng,
47tdl8,Nasi Goreng,
ccedp2,Ayam Goreng,
6oxra8,Ayam Goreng,
6egtvx,Coto Makassar,
